desagradar desaguar
horizontal horizontal
horizonte horizonte
horca orca
ento adversidad
galhardia gallardo
grasnido gazpacho
herencia herança
hinchar inchar
holandés holandês
honestidad honestidade
honroso honroso
horadado perfurado
horadar urar
hora hora
honra honra
honrado honrado
honrar honrar
honradez honradez
hongo ungo
honor honra
honesto honesto
homicidio homicídio
homólogo homólogo
hondo undo
hondureño hondurenho
homónimo homônimo
homologar homologar
homosexualidad homossexualidade
homófono homófono
homosexual homossexual
homogéneo homogêneo
homologación homologação
homogeneizar homogeneizar
homeopatía homeopatia
homeópata homeopata
homicida homicida
homeopático homeopático
holocausto holocausto
hombro ombro
homenaje homenagem
hombre homem
holgazán olgazão
hollín uligem
holgar olgar
hispanoamérica hispanoamérica
hogar lareira
hoja olha
hojear olhear
hoguera ogueira
historiador historiador
histórico histórico
hocico ocinho
histérico histérico
histeria histeria
historia história
hispánico hispânico
hipo oluço
hisopo hissope
hispanismo hispanismo
hispano hispano
hispanidad hispanidade
hipopótamo hipopótamo
hipócrita hipócrita
hipótesis hipótese
hipotecar hipotecar
hipocondríaco hipocondríaco
hipocresía hipocrisia
hipocondría hipocondria
hipnotismo hipnotismo
hipnotizar hipnotizar
hipnótico hipnótico
hipnotizador hipnotizador
hipar oluçar
hipertenso hipertenso
hipnosis hipnose
hipertensión hipertensão
hinduismo hinduísmo
hindú hindu
hinchazón inchaço
hibernar hibernar
higuera igueira
himno hino
hinchado inchado
hinchamiento inchação
hincar incar
hilaridad hilaridade
hilo io
himen hímen
hilera ileira
hijo ilho
hilar iar
hijastro nteado
hidráulica hidráulica
hierba rva
higienización higienização
higiénico higiênico
higo igo
higienizar higienizar
hierro erro
hierárquico jeringa
hielo gelo
hierarca jerarquía
hierarquia jerárquico
hiena hiena
hiedra hera
hiel el
hidrógeno hidrogênio
hidrográfico hidrográfico
hidroterapia hidroterapia
hidrotermal hidrotermal
hidratación hidratação
hidrato hidrato
hidratar hidratar
hidalguía idalguia
hidra hidra
hidalgo idalgo
heráldica heráldica
heterogéneo heterogêneo
hexágono hexágono
hibernación hibernação
heterosexual heterossexual
heterodoxia heterodoxia
heterodoxo heterodoxo
hesitación hesitação
hesitar hesitar
herético herético
hernia hérnia
herpes herpes
herrumbre errugem
hervido ervido
hervir erver
herramienta erramenta
herrería erraria
herradura erradura
heroína heroína
heroísmo heroísmo
heroico heróico
hermetismo hermetismo
hermosura ormosura
hermético hermético
hermoso ormoso
hermafrodita hermafrodita
hermandad irmandade
hermano irmão
hermanar irmanar
herido erido
herir erir
herida erida
gânglio gangrena
hediondo hediondo
heraldo arauto
heredero herdeiro
herejía heresia
hereditario hereditário
hercúleo hercúleo
heredar herdar
herbáceo herbáceo
herbívoro herbívoro
herbicida herbicida
hematoma hematoma
hemorragia hemorragia
hepatitis hepatite
hepático hepático
hendido endido
heno eno
hemorroide hemorróidas
hemoglobina hemoglobina
hemopatía homeopatia
hemisferio hemisfério
hemofílico hemofílico
hembra êmea
helado gelado
helipuerto heliporto
helénico helênico
helicóptero helicóptero
helio hélio
helar gelar
hedor edor
hegemónico hegemônico
hegemonía hegemonia
hedonista hedonista
hedonismo hedonismo
harpa arpegiar
hectárea hectare
hediondez hediondez
heder eder
haver hábil
hecho eito
hectolitro hectolitro
hecatombe hechicería
harpista arpón
harém harina
harpia arpillera
habitação habitante
harmonia armónico
harmonização armonizar
harmônico armonización
harmonizar arnés
habitável habitación
hanbúrguer hangar
hangar haragán
halo hambre
habitual habla
gíria argüir
habilitar habitable
habitante habitar
habitar hábito
gôndola gondolero
habilidade habilitar
gótico grabación
gênesis genética
gênio genital
gêmeo gemido
gênero generosidad
gélido gemelo
gritar gritería
guarnecer guarnición
guerrilheiro guiar
gálico gallardía
gás gaseoso
gástrico gastritis
guisado guisante
guitarra gula
gula gusano
guilhotina guiñada
guisa guisado
guiar guillotina
guerreiro guerrilla
guerrilha guerrillero
guerra guerrear
guerrear guerrero
guarnição guayaba
grupal grupo
grânulo grasa
guarda guardián
guardar guardia
guardião guarnecer
guardanapo servir
grêmio griego
grão granada
gráfico grafología
grátis gratitud
grupo gruta
gruta guacamayo
grotesco grúa
grunhido grupal
grua grueso
grosseria grosero
grossura grotesco
grosso gruñido
grito grosería
grosseiro grosor
gritaria grito
graça gracias!
grilo gringo
gringo gripe
gripe gris
grinalda guisa
gregário gregoriano
grifo grillo
greta grifo
gregoriano gremio
grego grieta
grau graduación
grave gravedad
gravitar graznar
gravitação gravitar
gravidade gravitación
gravata corchete
gravação grabar
gravar gracia
gratificar gratis
grato gratuito
gratuito grave
gratificação gratificar
gratidão grato
gesto además
gonorréia gordo
gracejar bronce
gramíneo gran
grandiosidade grandioso
granito granizo
granular gránulo
grasnar gaznido
granizo grano
grandioso granero
grandeza grandilocuente
grandiloqüente grandiosidad
grande grandeza
graduação gradual
grafólogo gramática
gramática gramatical
gramático gramíneo
gramatical gramático
grafologia grafólogo
grafia gráfico
gradual graduar
graduar grafía
gradação grado
grade rejuvenecer
gracioso gradación
gorila gota
governanta camarilla
governo goce
gozo gol
gota gótico
governador gobierno
gostar gustoso
gostoso gutural
gordura gorila
gordurento graso
gorduroso gratificación
gordo gordura
glande glándula
glândula glandular
gnose gobernador
golfe golondrina
golpear góndola
gondoleiro gonorrea
golpe golpear
goiaba guerra
gol golf
gnu oasis
glória glorificar
glúteo gnosis
gnomo nonada
glóbulo gloria
glosar glosario
glossário glotón
glutão glúteo
glorioso glosa
glosa glosar
globular glóbulo
glorificar glorioso
glandular globular
ginásio gimnasta
giro gitano
glaciar gladiador
gladiador glande
glacial glaciar
giz tiznar
girar girasol
girassol giro
ginástica gimnasio
girafa jocosidad
gigantesco gimnasia
ginecologista girar
ginete jirafa
ginasta ginecólogo
geólogo geopolítica
gigante gigantesco
geógrafo geología
gestão gesto
gastrônomo gatillo
genérico género
germe germicida
germânico germen
gerúndio gesta
gestação gesticular
gesticular gestión
gesta gestación
gerânio gerencia
gerência gerente
gerontologia gerundio
germinar gerontología
germinação germinar
germicida germinación
geral general
gerente geriatría
geriatria germánico
geração general
gerar genérico
geográfico geógrafo
geologia geólogo
geopolítica geranio
genético genial
geografia geográfico
genética genético
generalidade generalísimo
genital genitivo
gentileza gentuza
genuflexão genuino
genuíno geografía
gentinha genuflexión
genocídio gentil
gentil gentileza
genitivo genocidio
generosidade generoso
genial genialidad
genialidade genio
generoso génesis
gengibre jeque
generalização generalizar
generalíssimo generalización
generalizar generar
gelatina gelatinoso
gen genealogía
general generalidad
genealogia generación
gemer gene
gemido gemir
gelatinoso gélido
geléia jamás
gazela gaceta
gaúcho gavilán
gel gelatina
geladeira nexo
gazeta gafas
gato gaucho
gavião gaznar
gatilho gato
ganso ansiar
garrafa botica
gasoso gasoducto
gastrite gastronomía
gastronômico gastrónomo
gastronomia gastronómico
gastar gástrico
gasto gastar
gaspacho gel
gasoduto gasógeno
gasogênio gasolina
gasolina gastado
garça gas
gargalhar carcasa
gargantilha gargarear
gargarejar garra
garra garrapata
garganta gargantilla
garantir garbo
garfo tener
gargalhada carcajear
garbo garganta
garanhão garantía
garantia garantizar
garagem garañón
galáxia galeón
gamo gamuza
gangrena canguro
ganhador ganancia
ganido garaje
gana ganado
gancho ganglio
galão galope
gama gamberro
galã galanteo
galo galón
galpão galvanización
galvanização galvanizar
galvanizar gama
galope galpón
galicismo gálico
galinha gallipavo
galinheiro pollo
galhardo gallego
falsedad alsidade
feminista eminista
fineza ineza
fábrica ábrica
gaiteiro gala
galera galería
galeria galicismo
galeão galera
galanteio galápago
galego galleta
gala galán
fértil értil
física ísica
gafanhoto saltar
gaita gaitero
gado ganador
fétido étido
fémur êmur
féretro éretro
fácil ácil
fécula écula
fábula ábula
flauta lauta
fluidez luidez
folklore olclore
folleto olheto
folletín olhetim
fondo fonema
follaje olhagem
fluvial luvial
foca oca
foco oco
fobia obia
flujo luxo
fluorescente luorescente
fluir luir
flojo rouxo
floreciente lorescente
floricultura loricultura
flotar lutuar
floricultor loricultor
flora lora
florecer lorescer
flor lor
flexibilidad lexibilidade
flexible lexível
flexionar lexionar
flexibilizar lexibilizar
fletar retar
flete rete
flecha lecha
fisioterapia isioterapia
flagrancia lagrância
flanco lanco
flatulencia latulência
flagrante lagrante
fisura issura
flagelo lagelo
fisión issão
firmar irmar
fiscalización iscalização
fisco isco
fisico ísico
fiscalizar iscalizar
firmeza irmeza
fiscal iscal
firme irme
fino ino
firma irma
firmamento irmamento
finura inura
fingimiento ingimento
fingir ingir
fingido ingido
filigrana iligrana
final inal
financiar inanciar
finanzas inanças
finca chácara
financiero inanceiro
finalizar inalizar
financiación inanciamento
finalista inalista
filosofía ilosofia
filólogo ilólogo
filósofo ilósofo
fin im
filón ilão
filtro iltro
filántropo ilantropo
filtrar iltrar
filología ilologia
filosofar ilosofar
filmar ilmar
filo io
filipino ilipino
ficha icha
filantropismo ilantropismo
filatelía ilatelia
filiación iliação
filial ilial
filatélico ilatélico
filantropía ilantropia
filatelista ilatelista
fiera era
fijar ixar
fila ila
filamento ilamento
fijo ixo
figura igura
figurativo igurativo
fiesta esta
fidelidad idelidade
fiel iel
fieltro eltro
fiebre ebre
ficticio ictício
fidedigno idedigno
fichar ichar
fetichismo etichismo
feudo eudo
fibra ibra
ficción icção
fiasco iasco
feudal eudal
feudalismo eudalismo
feto eto
feroz eroz
fertilizar ertilizar
fetal etal
fetiche etiche
festival estival
ferruginoso erruginoso
fertilidad ertilidade
ferroso erroso
feo eio
fermento ermento
ferocidad erocidade
fermentación ermentação
fenomenal enomenal
fenómeno enômeno
fenecer enecer
favorito avorito
federativo ederativo
feliz eliz
femenino eminino
feminismo eminismo
felpa elpa
felicitación elicitação
felicitar elicitar
felicidad elicidade
fecundación ecundação
federación ederação
federalismo ederalismo
federalista ederalista
federal ederal
fecundidad ecundidade
fecundo ecundo
fecundar ecundar
febril ebril
fecha data
fechar datar
fecal ecal
fe é
febrero evereiro
faz ace
farmacéutico armacêutico
fatalidad atalidade
favor avor
favorecer avorecer
favoritismo avoritismo
favorable avorável
fatigar atigar
fauna auna
fausto austo
fatídico atídico
fatalista atalista
fatiga adiga
fatalismo atalismo
fascista ascista
fase ase
fatal atal
fascículo ascículo
fascinación ascinação
fascinar ascinar
fascismo ascismo
fascinante ascinante
farsa arsa
farsante arsante
farmacía armácia
fanatismo anatismo
faraón araó
faringe aringe
faringitis aringite
fardo ardo
fantasía antasia
fantástico antástico
fanático anático
fantoche antoche
fantasioso antasioso
fantasmagórico antasmagórico
fanfarrón anfarrão
familia amília
famoso amoso
fanal arol
familiar amiliar
falso also
faltar altar
fama ama
falta alta
falsificador alsificador
falsificar alsificar
falsificación alsificação
esclavo scravo
escândalo scândalo
eyacular Ejacular
faisán aisão
fallecer alecer
fallecimiento alecimento
falo alo
fallecido alecido
falda aia
falla alha
fallar alhar
falible alível
fajar nfaixar
falacia alácia
faja aixa
fabuloso abuloso
factura atura
facultativo acultativo
faena aina
facultad aculdade
factible actível
factor ator
fachada achada
fabricante abricante
fabricar abricar
fabricación abricação
eção seccionar
eurótico neutral
extante sexteto
extrovertido xtrovertido
exuberante xuberante
eyaculación jaculação
exual sexualidad
exualidade sí
extil sexto
exto sexual
exteto sextil
everidade severo
exo ni
exologia sextante
evilhano sexagenario
exagenário sexo
evero sevillano
eutro neutralidad
evar nevera
eve nimbo
eva tinta
eutralizar neutro
eutralidade neutralidad
eta safari
etivo adjuntar
etor sectorial
eurose neurótico
etorial secuaz
eto nieve
etembro septuagenario
etentrional séptico
etentrião septentrional
etenta seudónimo
etecentos setenta
ete sífilis
essão seso
estrado maestre
estre maestría
estria mafia
estrança maestrazgo
estra maestranza
esta siete
esgo bizcocho
essenta sesgar
esdrújulo sdrúxulo
ese esencia
escéptico céptico
escuadrón squadrão
escudriñar squadrinhar
escultura scultura
escupir cuspir
escuálido squálido
escultural scultural
esculpir sculpir
escultor scultor
escuela scola
escuchar scutar
escudo scudo
escucha scuta
escribiente screvente
escritura scritura
escuadra squadra
escuadrilla squadrilha
escrúpulo scrúpulo
escritor scritor
escritorio scrivaninha
escrito scrito
escombro scombro
escoria scória
escotilla scotilha
escribano scrivão
escorpión scorpião
escondido scondido
escondite sconderijo
esconder sconder
escoger scolher
escoltar coltar
escolástico scolástico
escolta scolta
escoba assoura
escocés scocês
esclerosis sclerose
era ra
ersão adverso
escapatoria scapatória
escena cena
esclarecer sclarecer
esclavizar scravizar
escepticismo ceticismo
escisión cisão
escenario cenário
escasear scassear
escaso scasso
escasez scassez
escaramuza scaramuça
escarpado scarpado
escarp a
escarabajo scaravelho
escape scape
escabroso scabroso
escandalizar scandalizar
escaparate itrine
escapar scapar
escalofrío calafrio
escamotear scamotear
escama scama
escalar scalar
escalera scada
escala scala
erudito rudito
ervir servitud
erótico rótico
esbozar sboçar
esbozo sboço
esbelto sbelto
erviçal servidor
ervo siesta
ervidor servidumbre
ervil servilismo
ervilismo servilleta
ervidão servil
erupción rupção
ervente sirviente
eructar arrotar
eructo arroto
ertência advertir
ertir adyacente
ermelho bermellón
erradicar rradicar
errata rrata
ersidade adversión
erso advertencia
errote servicial
erróneo rrôneo
error rro
errante rrante
errar rrar
erraria serrín
errania serrano
errano serrar
erradiço serranía
erragem serrucho
erosión rosão
erpentear serpiente
erradicación rradicação
erra siervo
erpe serpentear
erpente serradizo
erotismo rotismo
ermitaño rmitão
erosivo rosivo
ermão serpe
ermelhão berrear
erguir rguer
erigir rigir
erizar riçar
erme gustar
eringa jesuita
erigrafia serio
ericicultura serie
eriedade serigrafia
ericicultor sericultura
erección reção
erenar serenata
erenidade sereno
ereno sericultor
erenata serenidad
erecto reto
erapilheira arpista
erafim serenar
enérgico nérgico
epílogo pílogo
equitación quitação
eqüela secuencia
eqüestrador secuestrar
eqüência secuencial
er ser
eqüestrar secularizar
eqüencial secuestrador
equivocación quívoco
equivocar quivocar
equóia sed
equivalente quivalente
equivaler quivaler
equivalencia quivalência
equilibrar quilibrar
equilibrio quilíbrio
equipaje bagagem
epíteto píteto
equaz secuela
equer sirga
epístola pístola
eptuplicar séptuplo
epultar sepultura
epígrafe pígrafe
epultura sepulturero
epulcro sepultar
epidêmico pidêmico
eptenário septentrión
eptuagenário septuplicar
epopeya popéia
eparação separar
epidemia pidemia
epidermis piderme
eparável separación
eparar separatista
eparatista sepelio
enó trinidad
entresuelo obreloja
envenenar nvenenar
envidiar invejar
envío nvio
enário plenilunio
enão sino
enviudar nviuvar
envolver volver
envidioso invejoso
enviar nviar
envidia inveja
envergadura nvergadura
entusiasta ntusiasta
envainar mbainhar
envejecido nvelhecido
envenenamiento nvenenamento
envasar ngarrafar
enumerar numerar
enunciar nunciar
enumeración numeração
entristecer ntristecer
enturbiar turvar
entusiasmo ntusiasmo
entumecer intumescer
entretenimiento ntretenimento
entrever ntrever
entretener ntreter
entre ntre
entregar ntregar
entrenar einar
entrega ntrega
entonces ntão
entrada ntrada
entraña ntranha
entorpecer ntorpecer
entonar ntoar
entonación ntonação
dádiva dadivoso
elástico lástico
encajar ncaixar
enfoque nfoque
ensayo nsaio
ensordecer nsurdecer
entender ntender
enterrar nterrar
entimentalismo sentimiento
entina sentir
entir separable
entimento sentina
entierro nterro
entimental sentimentalismo
entidad ntidade
enternecer nternecer
entero inteiro
entendimiento tendimento
entença sentenciar
ensueño onho
ente nte
entenciar sentencioso
entencioso sentimental
entado sentar
entar sentencia
ensível sensitivo
ensual sensualidad
ensuciar ujar
ensualidade sentado
ensorial sensual
ensibilidade sensibilización
ensibilização sensibilizar
ensitivo sensorial
ensibilizar sensible
enseñanza nsino
enseñar nsinar
ensenada nseada
ensação sensacional
enjabonar nsaboar
enriquecer nriquecer
ensanchar alargar
ensatez sensato
ensayar nsaiar
ensato sensibilidad
ensanche alongamento
ensacionalismo sensacionalista
ensacionalista sensatez
ensacional sensacionalismo
ennoblecer nobrecer
enorme norme
enraizar nraizar
enorgullecer orgulhar
eno plomo
enloquecer nlouquecer
enmudecer mudecer
enngrecer negrecer
enmarañar maranhar
enjaular njaular
enjuagar nxaguar
enjambre nxame
engrosar ngrossar
enigmático nigmático
enina niñería
enipotenciário plenitud
enitude pleno
enino nipón
enilidade seno
enilúnio plenipotenciario
enil senilidad
enhoriar señoril
enhorio señorito
enigma nigma
enhoril señorío
enha senado
enhor señorear
engullir ngolir
engañoso nganoso
engranaje ngrenagem
engrandecer ngrandecer
engordar ngordar
enfurecer nfurecer
engañar nganar
engaño ngano
enfático nfático
enfriamiento sfriamento
enfriar sfriar
enfrentar nfrentar
encorvar ncurvar
endiosar ndeusar
enero janeiro
enfermedad nfermidade
enfermo doente
enfilar nfiar
enfermería nfermaria
enfado nfado
enfatizar nfatizar
enfadar aborrecer
endémico ndêmico
enemistad inimizade
energía nergia
enemigo inimigo
enectude senil
endurecer ndurecer
endurecimiento ndurecimento
endulzar adoçar
encía gengiva
endeble débil
enderezar ndereçar
endigo pornografia
enda bendidura
encuentro ncontro
encuesta nquete
encrespar ncrespar
enclave nclave
encomienda ncomenda
encorajar ncorajar
encontrar ncontrar
encomendar ncomendar
encoger ncolher
encender acender
enchufe tomada
encinta grávida
encionado suspecto
enciclopedia nciclopédia
encerrar ncerrar
enchufar conectar
encerar ncerar
encarcelar ncarcerar
encargar ncarregar
encarnación ncarnação
encargado ncarregado
encanto ncanto
encarar ncarar
encaje ncaixe
empatar mpatar
emprender mpreender
empírico mpírico
en m
enaltecimiento naltecimento
encabezar ncabeçar
encadenar ncadear
enano anão
enador señal
enaltecer naltecer
enado senador
emântica semántico
emântico semblante
emítico semitismo
emvergonha sionismo
emáforo semana
emulsión mulsão
empujar mpurrar
empujón mpurrão
empuñar mpunhar.
empresario mpresário
empresa mpresa
empleado mpregado
empobrecer mpobrecer
empodrecer apodrecer
empre sien
empobrecimiento mpobrecimento
empleo mprego
emplear mpregar
emperador imperador
empezar começar
empiterno seña
emperatriz imperatriz.
empeoramiento piora
empeorar piorar
empate mpate
embotellar ngarrafar
emergencia mergência
emigrante migrante
emitir mitir
emoción moção
empaquetar mpacotar
emor temer
emitom sémola
emocionante mocionante
emitismo semitono
eminente minente
emisión missão
emita semítico
eminário seminarista
emigrar migrar
eminarista semita
emestral semestre
emideus semilla
emigración migração
emestre semidiós
emerger mergir
emelhança sembrar
emental sementera
ementeira semestral
emer temblor
emente seminario
emelhar semen
embuste mbuste
emear semejante
emelhante semejanza
emeadura siempre
embriaguez mbriaguez
embrión mbrião
embriagar mbriagar
embarcar mbarcar
emblema mblema
emboscada mboscada
emboscar mboscar
embocadura mbocadura
embestida investida
embestir investir
emblante semblanza
embarque mbarque
emanar manar
embajada mbaixada
embarcación mbarcação
embarcadero cais
embajador mbaixador
emancipar mancipar
emanário semántica
emancipación mancipação
em nicho
emana. semanal
emanal semanario
elênico selladura
edida acrecentar
ela candelabro
elemento lemento
elipse lipse
elucidar lucidar
elva junio
elvagem salvamento
elvoso semáforo
eludir iludir
eludo terco
elogiar logiar
elogio logio
elo selva
elocuencía loqüência
elixir lixir
elhaco belleza
eliminación liminação
eliminar liminar
elim silo
elevar levar
eleção seleccionar
eleto selénico
elevación levação
eletivo selecto
electricista letricista
elegir leger
elemental lementar
elegancia legância
elegante legante
elefante lefante
elasticidad lasticidade
elecionar selectivo
electricidad letricidade
eleccion leição
elaborar laborar
elancia saneamiento
elar sello
elagem sellar
elaboración laboração
eficacia ficácia
eguidor seguimiento
eiticeiro hechizar
ejecutar xecutar
ejemplar xemplar
ejercer xercer
ejercicio xercício
ejemplo xemplo
ejecutivo xecutivo
ejeito muela
eixe hazaña
ejecución xecução
eitiçaria hechicero
eito plenario
eia calcificación
eis seiscientos
eita sectario
eitear pleito
eiscentos seísmo
eijão judío
eio señor
eguir según
egurança seguro
eguro seis
egundo segundo
eguimento seguir
eguinte sílaba
egadouro segador
egoismo goísmo
egregar seguidilla
eguidilha seguidor
egregacionismo segregacionista
egregacionista segregar
egoista goísta
egmentação segmentado
ego go
egmento segregacionismo
egmentado segmentar
egmentar segmento
egar seglar
efimero fêmero
egador segadora
egadora segar
egadeira segadero
ega siembra
eficiente ficiente
efigie fígie
eficaz ficaz
educar ducar
efectuar fetuar
efervescencia fervecencia
efervescente fervescente
efeméride feméride
edução seducir
edén éden
efardim segada
eduzir seductor
edutor sefardí
editar ditar
edronho madrugada
educación ducação
edição sedicioso
edoso seducción
edimentar sedimento
edimentação sedimentar
edimento sedoso
edificar dificar
edificio difício
edificación dificação
ebanistería arcenaria
ecuación quação
edad idade
edação sedal
edentário sedición
edicioso sediento
edición dição
edema dema
edento sedimentación
ede sedación
edan sedar
edar sede
edalha sedán
ecularizar secundar
ecundário secuoya
ecura sequía
ecundar secundario
ecuestre qüestre
ecular segmentación
ecuador quador
eclosion closão
ecretaria secretario
ecretário secreto
ecreção secretar
ectário sector
ecreto secta
economía conomia
ecretar secretaría
económico conômico
ecología cologia
ecológico cológico
eco co
ebrio ébrio
ecar sección
eclesiástico clesiástico
eclipse clipse
eccionar seco
ebáceo sebo
eca séquito
ebullición bulição
ebo seborrea
ebre calidad
eborréia secar
ebeu plebiscito
ebiscito plegadizo
ebe plebeyo
dócil docilidad
dúzia dócil
ebanista arceneiro
e siamés
dónde onde
dúctil dútil
dólar doler
déspota despotismo
dívida deudor
dígito digno
década decadencia
déficit deficitario
décimo decir
dálmata dama
débito década
dália dálmata
dinamarquês dañino
ditador dictadura
documentação documento
drástico drástico
duplicado duplicado
duración duração
durar durar
duro duro
dáctilo dactilógrafo
dureza dureza
durante durante
duplo docena
duque duque
duplicar duplicar
duelo duelo
dulzura doçura
duodeno duodeno
duna duna
dulce doce
dueño dono
ducha banho
dudar duvidar
duda dúvida
dualidad dualidade
dual dual
dormir dormir
doutrina documentación
drama drama
drenar. drenar
droga droga
drenaje drenagem
dragón dragão
doña dona
dosis dose
doutor doctrina
dote dote
dorso dorso
doméstico doméstico
dor dolorido
dorar dourar
donativo donativo
doncella donzela
donar doar
domar doméstica
domingo domingo
dominio domínio
domesticar domesticar
dominar subjuntivo
doer dolor
dolorido domar
documento dólar
divindade divino
dizer decisión
diâmetro diario
dobradiço plegamiento
docilidade doctor
dobrar plegaria
dobra plegar
diálogo diamante
diário diarrea
divorciar divulgar
divã divergencia
divulgar doble
divisa división
divisão divorciar
divino divisa
divergência diversificar
diversão dividir
dividir divinidad
diversificar diversión
ditongo diputado
divagar diván
divagação divagar
diurno divagación
ditar didáctico
dito dictado
ditadura dictar
dissecar diseminar
distorsão distorsionar
distraído distribución
distância distante
ditado dictador
distribuição distribuir
distribuir diurno
distração distraer
distrair distraído
dissolução disparar
distar distorsión
distorcer distracción
distante distar
dissimular dislocar
disseminar diseño
disco discordancia
discípulo disco
disparar disparo
disponível disposición
disposição disputar
disputar distancia
dispor disponible
dispersar dispersión
dispersão. disponer
disparo dispersar
disfarce disfrazar
disfarçar disfrutar
discórdia discoteca
discrepância discrepar
discriminação discriminar
discurso discutir
discutir disecar
discrição discrepancia
discreto discriminación
discriminar disculpa
discoteca discreción
discrepar discreto
discordância discordar
discorrer discurso
discordar discordia
direita derecho
direção directo
disciplina discípulo
dirigir disciplina
direito derecho
direto dirigir
dinâmico dinamismo
diploma diplomático
diplomático diptongo
dique dirección
diocese Dios
dinamite dinastia
dinheiro diócesis
dinâmica dinámico
dinastia dinero
dinamismo dinamita
desregrar desarreglo
devoção devolución
diferente difícil
digital dígito
dilúvio dimensión
diminutivo diminuto
diminuto dimisión
dimensão diminutivo
diminuir disolución
dilema diligencia
diligência diligente
diluir diluvio
diligente diluir
dilatar dilema
dilatação dilatar
digno dilatación
difusão digerir
digerir digestión
digestão digital
difícil dificultad
dificultar difundir
difundir difunto
dificuldade dificultar
diante delantera
dicionário dicho
dieta difamar
difamar diferente
didático diente
dianteiro delatar
diarréia dibujar
dianteira delantero
diabético diablo
diagonal dialecto
dialogar diálogo
diamante diâmetro
dialeto dialogar
diadema diagnóstico
diagnóstico diagonal
diabólico diadema
dia diabético
diabo diabólico
dezena decencia
desértico desertor
devagar despedazar
devolução devolver
devolver devorar
devorar día
dever debilidad
devedor devaluación
determinação determinar
detrimento detrito
detrito deuda
deusa diploma
detetive detener
detonar detrás
detestar detonar
deter deteriorar
deteriorar determinación
determinar detestar
detalhe detectar
detectar detective
detalhar detalle
destruição destruir
desventura desviar
desânimo desaprobación
desviar detallar
desunião desunir
desvalorização devaluar
desvantagem desventura
desvalorizar devoción
desunir desventaja
destilação destilar
destituição destituir
destroçar destrucción
destruir desunión
destino destitución
destituir destrozar
destilar destilería
destilaria destino
desterro destilación
desterrar destierro
desenvolvimento desastre
desjejum desbordar
desonesto deshonor
despedir despeñadero
despertador despertar
desprezar desprecio
desprovido después
desregramento desarrollar
desprezo desprovisto
desperto desplazamiento
despotismo despreciar
despertar despierto
despensa desperdicio
desperdício despertador
despenhadeiro despensa
desordem desorganización
desorientação desorientar
despedaçar despedida
despedida despedir
desovar despacio
desorganização desorientación
desorientar desovar
desonrar deshonroso
desonroso desierto
desordeiro gamo
desonra deshonrar
desmantelar desmayar
desmoronar desobedecer
desobediente desocupar
desolar desollar
desolação desolar
desocupar desolación
desobedecer desobediente
desnecessário innegable
desmoralizar desmoronar
desmoralização desmoralizar
desmerecer desmitificar
desmistificar desmoralización
desmembrar desmerecer
deslize deslizar
desmaiar desmayo
desmaio desmembrar
deslocar déspota
deslumbrar desmantelar
deslocamento desplazar
desligar desconfiado
deslizar deslumbrar
desleal desligar
desfaçatez desfalcar
desgraça desgraciar
desiguar desigual
desintegração desintoxicar
desintoxicar desistir
desistir desleal
desinfetante desinfectar
desinfetar desintegración
desinchar deshojar
designação designar
desigual desigualdad
desigualdade desinfectante
desidratar deshielo
desgraçar deshabitar
desfrutar disgusto
desgaste desgracia
desgosto disimular
desfiar deshinchar
desfolhar deshonesto
desfeito deshelar
desespero desesperar
desfalque desfallecer
desfavorável desgaste
desfazer deshecho
desfalecer desfallecimiento
desfalecimento desfavorable
desfalcar desfalco
desertar desértico
deserção desertar
desesperar desfachatez
desertor desesperación
deserto desierto
desequilibrar desequilibrio
desequilíbrio deserción
desequilibrado desequilibrar
descomunal desconectar
desde desdén
desdém desdeñar
desembarque desembocar
desengano deseo
desenho diccionario
desenvolver desarrollo
desenhar dibujo
desencaminhar descansado
desencanto desengaño
desembocar desencanto
desejo deseoso
desembarcar desembarco
desejoso desequilibrado
desejar desembarcar
desdentado desdicha
desditoso desdoblar
desdobrar desear
desdita desdichado
desdenhar desdentado
descortês descrédito
descrédito describir
desculpa discurrir
descumprir incurable
descuido desde
descrever descripción
descrição descubierto
descongelar descontar
descontar descortés
desconto descuido
desconfiar descongelar
desconfiado desconfiar
descanso descapitalización
descender descendiente
descentralizar descentrar
desclassificar descodificar
descobrimento descubrir
descobrir descuento
descoberto descubrimiento
descentrar descifrar
descenso descentralizar
descendência descender
descarga descargar
descarregar descendencia
descendente descenso
descapitalização descapitalizar
descapitalizar descapotable
desaprovação desaprobar
desautorizar desayuno
descalço descaminar
descansar descanso
descansado descansar
descalçar descalzo
descafeinado descalzar
desarraigar derramamiento
desastroso desatar
desatar desautorizar
desastre desastroso
desarmar desarme
desarraigamento desarreglar
desarmamento desarraigo
desalinho desamparar
desanimação desanimar
desaprovar desarmar
desamparo desanimación
desanimar desánimo
desamparar desamparo
desajustar desajuste
desajuste desaliño
desaguamento desajustar
desaguar desagüe
desagradável desagradar
bicéfalo bicentenario
cocción cocção
contingencia contingência
cunhar acunar
deitar(e) acostumbrar
dependência adición
depósito depreciación
desacelerar desacierto
desafiar desafio
desafio desagradable
desacerto desacreditar
desacreditar desafiar
desaceleração desacelerar
derrubar derrota
desabrigar desabrigo
desabrochar desacato
desacato desaceleración
desabrigo desabrochar
desabotoar desabrigar
desabitar deshacer
derrota derrotar
